Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date
2023-12-18,76,0.2691236478984507,0.1147333333333333,1.0,0.17017663985492962,0.0,1.0,17.017663985492963,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-19,77,0.27186910852264173,0.11979999999999996,1.0,0.1740987264609168,0.0,1.0,17.409872646091678,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-20,78,0.27462182373229493,0.12486666666666663,1.0,0.17803117676042135,0.0,1.0,17.803117676042135,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-21,79,0.2773819006735133,0.1299333333333333,1.0,0.18197414381930477,0.0,1.0,18.19741438193048,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-22,80,0.2801494472908598,0.13499999999999995,1.0,0.18592778184408543,0.0,1.0,18.592778184408544,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-23,81,0.28292457230090623,0.14006666666666662,1.0,0.1898922461441518,0.0,1.0,18.98922461441518,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-24,82,0.28570738516419125,0.14513333333333328,1.0,0.19386769309170182,0.0,1.0,19.386769309170184,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-25,83,0.28849799605554255,0.1502,1.0,0.19785428007934652,0.0002857142857142939,1.0,19.78542800793465,0.028571428571429393,100.0,Tillering,2023-10-03,2024-07-30
2023-12-26,84,0.291296515832722,0.15526666666666666,1.0,0.20185216547531715,0.007523809523809528,1.0,20.185216547531716,0.7523809523809528,100.0,Tillering,2023-10-03,2024-07-30
2023-12-27,85,0.2941030560033493,0.16033333333333333,1.0,0.2058615085762133,0.014761904761904763,1.0,20.58615085762133,1.4761904761904763,100.0,Tillering,2023-10-03,2024-07-30
2023-12-28,86,0.29691772869006383,0.1654,1.0,0.20988246955723405,0.022,1.0,20.988246955723405,2.1999999999999997,100.0,Tillering,2023-10-03,2024-07-30
2023-12-29,87,0.29974064659388,0.17046666666666666,1.0,0.21391520941982858,0.029238095238095233,1.0,21.391520941982858,2.923809523809523,100.0,Tillering,2023-10-03,2024-07-30
2023-12-30,88,0.30257192295569546,0.17553333333333332,1.0,0.2179598899367078,0.03647619047619047,1.0,21.795988993670782,3.6476190476190467,100.0,Tillering,2023-10-03,2024-07-30
2023-12-31,89,0.3054116715159114,0.18059999999999998,1.0,0.2220166735941592,0.0437142857142857,1.0,22.201667359415918,4.37142857142857,100.0,Tillering,2023-10-03,2024-07-30
2024-01-01,90,0.30826000647212204,0.18566666666666665,1.0,0.22608572353160294,0.050952380952380937,1.0,22.608572353160294,5.095238095238094,100.0,Tillering,2023-10-03,2024-07-30
2024-01-02,91,0.31111704243483557,0.1907333333333333,1.0,0.23016720347833655,0.05819047619047617,1.0,23.016720347833655,5.819047619047617,100.0,Tillering,2023-10-03,2024-07-30
2024-01-03,92,0.3139828943811854,0.19579999999999997,1.0,0.2342612776874077,0.0654285714285714,1.0,23.42612776874077,6.542857142857141,100.0,Tillering,2023-10-03,2024-07-30
2024-01-04,93,0.31685767760659356,0.20086666666666664,1.0,0.23836811086656226,0.07266666666666664,1.0,23.836811086656226,7.266666666666664,100.0,Tillering,2023-10-03,2024-07-30
2024-01-05,94,0.3197415076743501,0.2059333333333333,1.0,0.24248786810621448,0.07990476190476187,1.0,24.248786810621446,7.990476190476187,100.0,Tillering,2023-10-03,2024-07-30
2024-01-06,95,0.3226345003630708,0.21099999999999997,1.0,0.24662071480438685,0.0871428571428571,1.0,24.662071480438684,8.71428571428571,100.0,Tillering,2023-10-03,2024-07-30
